Judul,Berita,Topik
"Prabowo Doa Bersama Kiai di Banten Hari Ini, Gibran ke CFD Jakarta","Prabowo akan berkeliling di wilayah Banten, sedangkan Gibran akan blusukan di DKI Jakarta.
Komandan Tim Kampanye Nasional (TKN) Bravo (Komunikasi) Prabowo-Gibran, Budisatrio Djiwandono, mengatakan bahwa Prabowo akan bersilaturahmi dengan sejumlah ulama di Banten.
“Hari Minggu, Pak Prabowo dijadwalkan akan berkegiatan di Provinsi Banten dengan agenda silaturahmi dengan sejumlah ulama masyhur di Banten. Selain itu, Pak Prabowo juga akan mengunjungi berapa situs bersejarah,"" kata Budi dalam keterangannya, Sabtu (2/12/2023).
Ketua Tim Kampanye Daerah (TKD) Prabowo-Gibran Provinsi Banten Airin Rachmi Diany mengatakan, Prabowo akan mengisi kegiatan hari ini dengan bersilaturahmi di sejumlah ponpes dan bertemu dengan kiai dan tokoh besar di Banten.
Lalu, sore harinya, Prabowo akan berdoa bersama sejumlah kiai di Banten.
“Insya Allah Pak Prabowo akan bertemu dengan Abuya Muhtadi dan Abuya Murtadho Dimyati. Beliau merupakan putra dari pendiri Pondok Pesantren Roudotul Ulum Cidahu, Pandeglang, Banten, Abuya Muhammad Dimyathi Al-Bantani,"" kata Airin.
""Selain itu juga akan dilakukan doa bersama 2.000 kiai Banten,"" sambung dia.
Selain kegiatan silaturahmi bersama para kiai, kata Airin, Prabowo juga dijadwalkan untuk bertemu dengan tokoh Banten yang juga mantan Bupati Lebak, yakni Mulyadi Jayabaya.
Mereka dijadwalkan akan makan siang di kediaman Mulyadi.
Airin pun optimistis kunjungan Prabowo akan menguatkan semangat TKD Prabowo-Gibran Banten untuk menjemput kemenangan pada Februari 2024 nanti.
“Suatu kehormatan Pak Prabowo memilih Banten untuk didatangi di awal masa kampanye. Kami akan sambut dengan riang gembira. TKD akan berupaya maksimal dan berdoa, insya Allah Prabowo-Gibran akan menang tebal di Banten,"" tutur Airin.
Sementara itu, Wakil Sekretaris TKN Prabowo-Gibran, Aminuddin Ma'ruf bahwa menyampaikan Gibran akan berkegiatan di area car free day (CFD) Jakarta pada Minggu pagi.
Setelah itu, Gibran melanjutkan kegiatan blusukan di kawasan Menteng, Jakarta Pusat.
""10.30-11.30 WIB (Gibran) blusukan di Jalan Menteng Tenggulun, Menteng Jaya, Jakarta Pusat,"" kata Amin.














",NEWS
[POPULER NASIONAL] TKN Prabowo-Gibran Sebut Megawati Panik | TPN Ganjar-Mahfud Anggap Format Baru Debat Cawapres Akal-akalan KPU,"JAKARTA, KOMPAS.com - Tim Kampanye Nasional capres -cawapres nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka kembali menanggapi pernyataan Ketua Umum Partai Demokrasi Indonesia Perjuangan (PDI-P) Megawati Soekarnoputri yang menyebut penguasa saat ini bersikap seperti rezim Orde Baru.
Dewan Pembina TKN Prabowo-Gibran, Agum Gumelar, menilai pernyataan Megawati yang merupakan Presiden Republik Indonesia periode 2001-2004 sedang panik.
Sementara itu, Tim Pemenangan Nasional capres-cawapres nomor urut 3 Ganjar Pranowo-Mahfud MD menilai Komisi Pemilihan Umum (KPU) melakukan akal-akalan dengan tidak menyelenggarakan agenda debat cawapres.
Dewan Pembina Tim Kampanye Nasional (TKN) Prabowo Subianto-Gibran Rakabuming Raka, Jenderal (Purn) Agum Gumelar menilai, Ketua Umum PDI-P sekaligus Presiden ke-5 Megawati Soekarnoputri dalam suasana panik.
Agum menyampaikan itu usai Megawati dan para pendukungnya menyebut bahwa sikap penguasa saat ini seperti penguasa Orde Baru.
""Itu yang melontarkan itu kan tentunya kalau menurut saya mungkin dalam suasana panik,"" ujar Agum saat ditemui di Hotel Borobudur, Jakarta Pusat, Jumat (1/12/2023).
Menurut dia, Megawati tak sepatutnya mengeluarkan pernyataan yang menjelek-jelekkan orang lain.
Sebab, kata dia, seluruh pasangan calon presiden dan wakil presiden yang akan berlaga di Pilpres 2024, baik.
""Lemparkan saja visi misi yang positif kepada masyarakat kita, yang bisa diterima oleh masyarakat kita. Jangan menjelek-jelekkan yang lain, itu tidak sehat cara-cara menjelek-jelekkan yang lain,"" kata Agum.
""Jadi, kalau ini kan kontestasi politik ya. Jadi jangan menganggap pihak lain sebagai musuh yang harus dihancurleburkan, harus menganggap rival yang harus dikalahkan dalam suatu kontes demokrasi,"" sambungnya.
Deputi Hukum Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud MD, Todung Mulya Lubis menyebut dihilangkannya debat calon wakil presiden (cawapres) sebagai akal-akalannya Komisi Pemilihan Umum (KPU).
Menurut Todung, KPU semestinya menjalankan perintah undang-undang perihal pelaksanaan debat yang menampilkan khusus cawapres pada Pemilihan Presiden (Pilpres) 2024.
""Menurut saya ini akal-akalan yang tidak boleh kita terima. Kita mesti konsisten menjalankan apa yang ditulis undang-undang, kecuali undang-undang diubah. Kalau diubah itu caranya juga mesti minta DPR dan pemerinah untuk melakukan perubahan itu,"" kata Todung dalam konferensi pers virtual, Sabtu (12/2/2023).
Sebagai informasi, debat capres dan cawapres diatur di dalam Pasal 277 Undang-Undang (UU) Nomor 7 Tahun 2017 tentang Pemilu.
Pasal ini menyebutkan debat capres dan cawapres digelar lima kali. Porsinya, tiga kali untuk capres dan dua kali untuk cawapres.
Debat capres dan cawapres juga diatur di dalam Keputusan KPU Nomor 1621 Tahun 2023 tentang Pedoman Teknis Pelaksanaan Kampanye Pemilihan Umum (Pemilu).
Merujuk adanya aturan ini, Todung menegaskan Ketua KPU Hasyim Asyari dan KPU secara kelembagaan tidak berhak mengubah format debat capres dan cawapres karena sudah diatur di dalam UU.
""Sudah diatur dalam peraturan KPU. Jadi kalau KPU mengatakan bahwa debat tetap lima kali, dan capres-cawapres akan hadir dalam setiap debat, yang beda itu cuma format bicaranya, porsi bicaranya,"" tegas Todung.














",NEWS
TKN: 60 Bu Nyai dan Majelis Taklim Jateng Dukung Prabowo-Gibran Menang Satu Putaran,"JAKARTA, KOMPAS.com - Sebanyak 60 Ibu Nyai dan majelis taklim perwakilan pondok pesantren se-Jawa Tengah menyatakan dukungan kepada pasangan calon presiden dan calon wakil presiden nomor urut 2, Prabowo Subianto dan Gibran Rakabuming Raka menang satu putaran pada Pilpres 2024.
Wakil Ketua Tim Kampanye Nasional (TKN) Prabowo-Gibran Arifah Choiri Fauzi mengatakan, dukungan itu dinyatakan di salah satu hotel di Solo, Jawa Tengah, Sabtu (2/12/2023).
""Kami berharap Mas Gibran bisa menang satu putaran di Pilpres 2024. Kami mewakili ponpes dan majelis taklim, ini hanya untuk Bu Nyai pimpinan majelis taklim Jawa Tengah,"" tutur Arifah dalam siaran pers, Sabtu.
Sekretaris V PP Muslimat NU ini juga menyebut, pertemuan menghadirkan perwakilan ponpes dan majelis taklim dari 6 kabupaten/kota di Jateng.
Keenam wilayah tersebut, antara lain Kabupaten Kudus, Demak, Pati, Grobogan, Kendal, Temanggung, dan Solo.
Ia pun menyatakan bakal ada pertemuan lanjutan yang menghadirkan perwakilan dari 35 kabupaten dan kota.
""Ini kegiatan pertama, nanti berikutnya ada 6 kabupaten dan 35 kabupaten/kota. Mendeklarasikan? Iya sekitar itu, pokoknya kita memilih Prabowo-Gibran,"" bebernya.
Arifah mengaku, dukungan diberikan lantaran sosok putra Presiden Jokowi itu dinilai cocok mendampingi Prabowo Subianto.
Mereka menilai Gibran adalah generasi muda yang cocok pada masa kini.
""Memilih Gibran karena generasi muda, sekarang zaman milenial, saya pikir Mas Gibran bisa berdampingan dengan Pak Prabowo,"" ucapnya.
Sementara itu, Gibran yang hadir dalam acara mengatakan bahwa pertemuannya hanya bentuk silaturahmi.
Ia enggan menyebut pertemuan tersebut merupakan deklarasi dukungan kepada dirinya dan Prabowo.
""Silaturahmi saja,"" katanya singkat.














",NEWS
"FT Jerman Vs Perancis: Laga Tuntas 2-2, Penentuan Juara Via Adu Penalti","KOMPAS.com - Laga Jerman vs Perancis pada final Piala Dunia U17 2023 berlanjut ke babak adu penalti setelah laga tuntas 2-2 pada waktu normal. 
Duel Jerman vs Perancis berlangsung di Stadion Manahan, Solo, Jawa Tengah, Sabtu (2/12/2023) malam WIB. 
Sepasang gol Die Mannschaft muda dicetak melalui penalti Paris Brunner (29') dan aksi Noah Darvich (51').
Adapun dua gol balasan Les Bleuets, julukan timnas U17 Perancis, tercatat atas nama Saimon Bouabre (56') dan Mathis Amougou (85'). 
Rangkuman pertandingan 
Jerman sejatinya menjebol gawang Perancis melalui tendangan Paris Brunner saat pertandingan baru berjalan tiga menit. 
Namun, gol dianulir setelah hakim garis mengangkat bendera. Max Moerstedt dalam posisi offside sebelum mengoper bola ke Brunner. 
Kapten timnas U17 Jerman, Noah Darvich, melakukan tendangan jarak jauh dari luar kotak penalti pada menit ke-14, tetapi gagal mengarah ke gawang. 
Peluang emas bagi Perancis tercipta pada menit ke-21. Saimon Bouabre melewati pemain Jerman dan melepaskan shot on target. Akan tetapi, tendangan Bouabre bisa ditepis kiper Jerman, Konstantin Heide.
Dua menit setelahnya, giliran Jerman yang menebar ancaman. Namun, tembakan Darvich juga bisa digagalkan kiper Perancis, Paul Argney. 














",BOLA
"Final Piala Dunia U17 2023: Solo Diguyur Hujan, Antrean Mengular Masuk Manahan","KOMPAS.com - Satu jam sebelum partai final Piala Dunia U17 2023 antrean masuk ke Stadion Manahan mulai mengular. Para penonton tampak antusias meski hujan deras sempat mengguyur Kota Solo.
Laga final Piala Dunia U17 2023 yang mempertemukan Jerman dengan Perancis bakal digear di Stadion Manahan, Solo, pada Sabtu (2/12/2023) pukul 19.00 WIB.
Berdasarkan pantauan Kompas.com, antrean mulai tampak di pintu masuk Stadion Manahan sekitar satu jam sebelum pertandingan.
Meski antrean cukup panjang, alur masuk penonton tetap rapi karena petugas membuka pagar secara bergantian.
Sementara itu di dalam stadion, penonton mulai memenuhi tempat duduk di tribune Manahan.
Di lapangan, skuad Jerman dan Perancis juga mulai pemanasan sebelum bertanding pada partai final Piala Dunia U17 2023.
KOMPAS.com/Ervan Yudhi Tri Atmoko Suasana pintu masuk penonton di Stadion Manahan menjelang final Piala Dunia U17 2023 yang mempertemukan Jerman dengan Perancis. Laga tersebut akan dilangsungkan Sabtu (2/12/2023) pukul 19.00 WIB.
Adapun Jerman melaju ke final Piala Dunia U17 2023 setelah mengalahkan Argentina lewat adu penalti di semifinal.
Sementara itu, Perancis melangkah ke partai puncak usai menaklukkan Mali dengan skor 2-1.
Bagi Jerman, ini adalah final kedua di panggung Piala Dunia U17 setelah yang pertama pada 1985 di China.
Pada final 1985 yang merupakan edisi perdana Piala Dunia FIFA U17, Jerman kalah dari Nigeria.














",BOLA
"5 Beasiswa S1-S3 Luar Negeri Tanpa Wawancara, Cukup Kirim Berkas","KOMPAS.com - Tahap seleksi beasiswa ke luar negeri umumnya terdiri dari beberapa tahapan. Umumnya dimulai dari tahap administrasi, lalu ke tahap tes, wawancara, tes skolastik, tes esai, dan masih banyak lagi. Namun, ada beberapa beasiswa ke luar negeri ""antiribet"" karena proses seleksinya hanya cukup kirim berkas.
Meski proses seleksi lebih pendek, namun beasiswa-beasiswa tersebut menawarkan kuliah gratis dengan uang saku yang cukup besar.
Dilansir dari laman Instagram bimbingan belajar ke luar negeri Kobi Education pada Minggu, (2/12/2023), berikut ini sejumlah beasiswa yang hanya mensyaratkan dokumen:
Beasiswa S2 dan S3 ke Perancis ini termasuk beasiswa luar negeri antiribet. Pendaftar cukup kirim berkas saja ke email atau website beasiswa ini. Pendaftaran dibuka sampai 10 Januari 2024.
Persyaratan
Benefit yang didapat:
Pemerintah Italia memiliki program beasiswa S2 antiribet buat mahasiswa internasional yang patut dicoba.
Pendaftaran mulai Januari sampai Maret 2024. Sehingga masih ada waktu untuk mengumpulkan berkas yang dibutuhkan.
Persyaratan
Benefit yang didapat:














",EDUKASI
"Presiden FIFA Hadir untuk Laga Final Piala Dunia U-17, Erick Thohir Ucapkan Terima Kasih","Pertandingan final Piala Dunia U17 antara Jerman dan Prancis dijadwalkan bergulir di Stadion Manahan, Surakarta, Jawa Tengah, pada Sabtu (2/12/2023) pukul 19.00 WIB malam ini.
Ketua Umum PSSI Erick Thohir menyampaikan rasa terima kasihnya atas kepercayaan FIFA dalam memilih Indonesia sebagai tuan rumah serta atas kehadiran Gianni Infantino dalam acara penutupan malam nanti.
""Terima kasih kepada FIFA yang sudah memberi kepercayaan, yang mendampingi hingga ajang ini berhasil digelar dengan baik. Bahkan Gianni Infantino hadir di laga final dan penutupan malam ini,"" ujar Erick Thohir.
Sebelumnnya, Gianni Infantino turut hadir dalam acara pembukaan Piala Dunia U17 2023 yang berlangsung di Stadion Gelora Bung Tomo (GBT), Surabaya, pada Jumat (10/11/2023).
Saat itu, ia didampingi oleh Erick Thohir serta Presiden Joko Widodo.
PSSI telah memastikan bahwa penutupan Piala Dunia U17 2023 tidak akan dilakukan secara mewah, melainkan akan diselenggarakan dengan acara yang lebih sederhana.
Rencananya, penutupan Piala Dunia U-17 2023 akan mencakup acara penyerahan piala atau malam penghargaan, serta disertai dengan perayaan kembang api.
Piala Dunia U-17 sukses diselenggarakan di Indonesia hingga tersebar di empat kota yaitu Jakarta, Bandung, Surabaya, serta Surakarta.
Erick mengungkapkan apresiasi terhadap antusiasme yang ditunjukkan masyarakat sepanjang perjalanan turnamen, dari fase penyisihan hingga babak 16 besar, yang dinilainya sebagai hal luar biasa.
""Saya mengapresiasi antusiasme yang ditunjukkan masyarakat mulai penyisihan hingga babak 16 besar luar biasa. Bahkan saat tim U-18 Indonesia tersisih, mereka masih ramai-ramai berbondong-bondong ke stadion,"" ucap Erick dilansir dari laman resmi PSSI.
""Jelang berakhirnya event ini, ayo kita ramaikan dan sukseskan FIFA U17 World Cup sampai partai final!""














",BOLA
"Tips Beli Mobil Bekas di Balai Lelang, Jangan Terpaku Odometer Saja","JAKARTA, KOMPAS.com - Membaca jarak tempuh di odometer biasanya menjadi patokan awal konsumen saat hendak membeli mobil bekas. Namun di balai lelang, langkah semacam ini tidak dianjurkan.
Secara logika, mobil dengan jarak tempuh rendah berpeluang punya kondisi mesin masih baik, karena tidak terlalu banyak digunakan.
Akan tetapi, menimbang balai lelang hanya mengandalkan inspeksi alakadarnya untuk mobil bekas yang dijual, ada pula kemungkinan jika kondisi unit tidak sebaik perkiraan awal.
Juni Siswanto, Technical Leader Auto2000 Ahmad Yani, menjelaskan, kondisi mobil bekas yang dijual di balai lelang bisa dikatakan cukup abu-abu. Kualitasnya bisa saja baik, namun bisa pula sebaliknya.
Kompas.com/Daafa Alhaqqqy Ilustrasi lelang kendaraan di balai lelang JBA
“Odometer itu nggak bisa jadi patokan kalau beli di balai lelang, soalnya kan kita enggak tahu, pengguna sebelumnya itu makai mobilnya bagaimana,” ucapnya kepada Kompas.com, Jumat (1/12/2023).
Menurut Juni, teknik minimal untuk menakar kualitas mobil bekas adalah dengan cara berkendara singkat. Hal ini bisa membantu konsumen untuk merasakan sensasi semua komponen, mulai dari pedal gas, transmisi, serta kaki-kaki.
Sayangnya langkah ini tidak bisa dilakukan, mengingat mobil bekas di balai lelang tidak boleh diajak keliling untuk test drive.
“Mau enggak mau, cuma bisa mengandalkan hasil inspeksi saja. Sebaiknya pilih yang nilai inspeksinya paling bagus, antara A atau B,” ucap Juni.














",OTOMOTIF
Bandit yang Lukai Pengendara Motor di Bekasi Ditangkap Orangtua Korban,"BEKASI, KOMPAS.com - Deri (21), bandit jalanan yang menodong dan menyayat leher pemuda bernama Aldi Faqih (19), ditangkap usai mencoba kabur.
Pelaku bisa tertangkap karena orangtua korban datang kemudian mengejar dan menangkap pelaku.
""Pelaku melarikan diri, tapi di saat yang sama, orangtua korban datang dan melihat anaknya sudah terluka. Orangtua korban langsung kejar pelaku,"" kata Kasie Humas Polres Metro Bekasi Kota Kompol Erna Ruswing Andari kepada wartawan, Sabtu (2/12/2023).
Alhasil, Deri yang tertangkap langsung menjadi bulan-bulanan warga.
Penodongan disertai kekerasan yang dialami oleh Faqih bermula saat ia sedang menunggu orangtuanya di jalan layang Sultan Agung, Kalibaru, Medan Satria, Kota Bekasi, Jumat (1/12/2023).
Saat itu, sepeda motor korban mogok dan ia menghubungi orangtuanya untuk meminta bantuan.
Korban yang sedang menunggu tiba-tiba dihampiri oleh pelaku. Sang bandit jalanan itu langsung menodongkan pisau ke leher korban sambil meminta ponsel korban.
Faqih saat itu melawan dan pelaku langsung menyayat leher korban. Faqih yang bersimbah darah tak kuasa melawan. Ponselnya juga ikut dirampas.
Di saat yang sama, orangtua korban datang dan pelaku gagal melarikan diri.
Erna menuturkan, pelaku sudah digiring ke Polsek Bekasi Kota berikut dengan barang bukti pisau yang digunakan untuk menyayat leher korban.
""Untuk korban sudah dibawa ke rumah sakit sekitar pukul 22.30 WIB,"" jelas Erna.














",NEWS
"Video Viral, Honda Supra X Lancar Terabas Banjir","JAKARTA, KOMPAS.com - Tersebar di media sosial, pria yang menerabas banjir sambil naik Honda Supra X. Terlihat di video tersebut, pengendara dengan santai melewati jalanan yang terendam cukup tinggi.
Video tersebut diunggah akun Agoez Bandz ke Instagram, terlihat Honda Supra yang digunakan model 125cc dan belum injeksi. Hal yang bikin penasaran, motornya tetap bisa melaju walau ketinggian banjir sampai ban.
Aries Mandala, Kepala Bengkel AHASS Pelangi Prima Mandiri mengatakan, pada Supra X 125 tersebut, sudah mengalami penyempurnaan dari generasi sebelumnya.
A post shared by ???????????????????? ???????????????????? ???????????????????????????????? (@agoez_bandz4)
 
""Dia model knalpotnya yang ke atas, beda dengan sebelumnya yang lurus. Selama digas terus (konstan), air sulit masuk ke ruang mesin lewat lubang knalpot,"" kata Aries kepada Kompas.com, Sabtu (2/12/2023).
Kemudian untuk air masuk lewat box filter yang ada di depan juga kecil, karena sudah tertutup pelindung. Khusus untuk lubang udara, posisinya tinggi dan menghadap ke belakang.
""Kecual ketinggian airnya melebihi lubang udara dari box filter (air bisa masuk mesin),"" kata Aries.
Kalau begitu, Supra X model tersebut memang bisa melewati genangan air yang sangat tinggi. Cuma tentu, melewati genangan yang terlalu tinggi juga berbahaya, risiko air masuk ke ruang mesin tetap tinggi.
Selain itu, genangan air yang dalam membuat jalanan jadi tidak kelihatan. Akhirnya malah celaka karena masuk ke parit atau lubang yang dalam.














",OTOMOTIF
Sekjen Gerindra Paparkan Program Prioritas Prabowo-Gibran di Hadapan Ribuan Santri di NTB ," Di hadapan ribuan santri, Muzani memaparkan sejumlah poin yang menjadi program prioritas Prabowo-Gibran jika terpilih dalam Pilpres 2024 mendatang. 
 Secara singkat, Prabowo-Gibran memiliki tiga program prioritas yaitu swasembada pangan, air, dan energi.
 Namun, menurut Muzani, itu semua bisa tercapai apabila pemimpin Indonesia kelak memiliki komitmen untuk memberantas kemiskinan di Indonesia.
 ""Pak Prabowo bertekad menjadikan Indonesia menjadi negara yang swasembada pangan, swasembada air, dan swasembada energi. Ketiganya bisa kita wujudkan kalau kita memiliki pemimpin yang berkomitmen untuk memberantas kemiskinan,"" ujar Muzani dilansir siaran pers Partai Gerindra. 
 ""Kita harus menyelesaikan rantai kemiskinan ini dari petani. Mana mungkin petani sejahtera kalau produksinya panennya rendah. Kalau panennya sedikit, maka petani nggak punya uang, anaknya susah sekolah, susah berobat. Inilah yang dimaksud dengan demokrasi,"" paparnya. 
 Muzani menjelaskan, swasembada pangan itu artinya Indonesia mampu memenuhi kebutuhan pangannya secara mandiri. 
 Masalah yang utama dihadapi petani hari ini adalah kelangkaan pupuk subsidi.
 ""Itu sebabnya Pak Prabowo akan memprioritaskan persoalan pupuk bagi pemenuhan kebutuhan pangan nasional. Kalau produksi padi melimpah maka harapannya keluarga petani tambah makmur,"" ungkap Muzani. 
 ""Rakyat kita, negara kita tidak lagi bergantung dengan impor karena sudah mampu memenuhi kebutuhannya secara mandiri,"" katanya. 
 Kemudian, Muzani juga menjelaskan pentingnya program Prabowo-Gibran terkait pemberian makan siang dan susu gratis. 
 Menurut Muzani, ini adalah cara yang strategis untuk menyiapkan generasi yang unggul menuju Indonesia Emas 2045. 
 ""Stunting adalah penyakit kekurangan gizi. Akhirnya pertumbuhan badan dan otak tidak sesuai dengan usianya. Ini menyebabkan perkembangan otak lebih rendah dari umurnya. Badannya lebih kecil dari umurnya. Itulah stunting. Ini juga menyebabkan rata-rata prestasi anak kita menurun,"" jelas Muzani.
 ""Maka dalam program Pak Prabowo, beliau akan memberikan makan siang dan susu gratis kepada setiap pelajar di sekolah-sekolah di setiap tingkatan,"" paparnya 
 Muzani menambahkan, Prabowo-Gibran juga siap melaksanakan perintah Undang-undang (UU) Pesantren terkait dana abadi pesantren. 














",NEWS
"Punya Motor Listrik, Ini 8 Cara Rawat Baterai agar Awet dan Optimal","JAKARTA, KOMPAS.com - Bila dibandingkan dengan sepeda motor konvensional, secara perawatan memang motor listrik lebih mudah, bahkan bisa dibilang sangat minim.
Namun demikian, bagi pemilik jangan sampai menyepelekan soal baterai. Pasalnya, ini merupakan komponen inti yang punya peran penting bagi motor listrik.
Seperti diketahui, baterai menjadi sumber utama daya atau penggerak dari motor listrik. Bila pemilik sampai abai dalam hal perawatan, maka dampaknya akan sangat merugikan.
Untuk merawat dan menjaga baterai motor listrik tetap optimal, menurut Andry Dwinanda, General Manager PT Terang Dunia Internusa, pemegang merek motor listrik United E-Motor, ada beberapa hal yang harus diperhatikan.
KOMPAS.com/KRISTIANTO PURNOMO Motor listrik United E3 dipamerkan di Indonesia International Motor Show (IIMS) 2023 di JIExpo, Kemayoran, Jakarta Pusat, Minggu (19/2/2023). Motor listrik ini kerjasama United e-motor dengan Hyundai Motors dari Korea Selatan.
Andry mengatakan, pada umumnya, ada dua jenis baterai yang kerap dijumpai pada motor-motor listrik yang telah dipasarkan di Indonesia.
""Umumnya ada dua jenis baterai yang digunakan, yaitu Sealed-Lead Acid (SLA) dan baterai Lithium. Kedua jenis baterai tersebut dipakai di tipe-tipe motor listrik yang dirilis United E-Motor,"" ujar Andry dalam keterangan resminya, Sabtu (2/12/2023).
Sebagai informasi, untuk jenis baterai SLA digunakan pada motor listrik United E-Motor MX1200. Sementara untuk lithium untuk T1800, TX1800, dan TX3000.
Menurut Andry, untuk perawatan dari kedua jenis baterai motor listrik tersebut, ada delapan poin yang harus diperhatikan pemilik, yakni ;
1. Pencegahan overcharging : Pastikan menggunakan charger yang sesuai dengan spesifikasi baterai. Pilih charger otomatis yang dapat menghentikan pengisian saat baterai mencapai kapasitas penuh.

2. Pemantauan suhu : Hindari pemanasan berlebih dengan tidak memarkir kendaraan di bawah sinar matahari langsung terlalu lama. Jangan biarkan baterai terlalu panas; perhatikan suhu baterai selama penggunaan.














",OTOMOTIF
Mengulas Desain Interior Chery Omoda 5 GT AWD,"JAKARTA, KOMPAS.com - PT Chery Sales Indonesia belum lama ini resmi mengenalkan Omoda 5 GT AWD.
Varian tertinggi dari keluarga Omoda ini dibanderol mulai Rp 448,8 juta untuk opsi Front Wheel Drive (FWD) dan Rp 488,8 juta untuk All Wheel Drive (AWD).
Omoda 5 GT juga hadir dengan desain yang sporty dan agresif dengan tambahan aksen oranye pada beberapa bagian eksteriornya, serta sudah dibekali dengan lampu proyektor LED DRL.
Sebelumnya tim redaksi sudah membahas desain eksterior Omoda 5 GT AWD. Kini saatnya mengulik bagaimana tampilan dan kenyamanan interior dari mobil SUV Crossover asal China tersebut.
Jika dilihat secara keseluruhan tidak ada perbedaan yang signifikan terkait layout dasbor Chery Omoda 5 GT AWD dengan varian RZ. Kabin masih didominasi dengan warna hitam, dengan beberapa aksen piano black di beberapa bagian seperti pada dasbor, setir, dan tuas transmisi.
Kompas.com/Nanda Interior Omoda 5 GT AWD
Bagian jok dilapisi material kulit bergaya bucket seat, di mana bagian jok dan headrest dibuat menyambung. Pengaturan jok sudah electric baik pada sisi pengemudi maupun penumpang, serta sudah dilengkapi ventilated seat untuk menunjang kenyamanan.
Setir mobil sudah menggunakan material kulit dengan warna hitam dan sedikit aksen silver, dan sudah terdapat tombol audio steering switch hingga cruise control.
Untuk pengaturan setir juga sudah tilt dan telescopic, sehingga meningkatkan ergonomis pengemudi saat berkendara.
Pada bagian dasbor ada layar entertainment dan instrumen yang dibuat menyatu berukuran 10.25 inci, dan sudah terintegrasi dengan koneksi Apple CarPlay dan Android Auto, termasuk Dynamic Meter Cluster. Di bawah layar head unit terdapat touch bar untuk menghidupkan AC.
Sementara itu, desain konsol tengah dibuat cukup lebar. Terdapat wireless charging, cup holder, tuas transmisi, kenob volume, serta tombol-tombol seperti electric parking brake, auto hold, lampu hazard, hingga drive mode yang dilengkapi dengan tombol pilihan atas-bawah.
Kompas.com/Nanda Interior Omoda 5 GT AWD
Adapun pada bagian penumpang belakang, ruang kaki masih cukup luas terutama bagi mereka yang memiliki tinggi 168 cm. Hanya saja headroom tidak begitu lapang, lantaran posisi atap dibuat melandai di bagian belakang, hal ini tak terlepas dari desain crossover yang diusung Chery.
Pada baris kedua terdapat armrest plus dua cup holder, serta tambahan AC pada konsol tengah. Kehadiran sunroof pun cukup menambah kesan lapang pada mobil.
Secara keseluruhan, ruang kabin Omoda 5 GT AWD tak berbeda jauh dengan varian standar. Masih menyajikan aura yang begitu sporty, namun tetap nyaman untuk pengemudi dan penumpang.














",OTOMOTIF
"Gasak 2 Motor di Hari yang Sama, Seorang Satpam di Blok M Ditangkap Polisi","“Kami berhasil menangkap salah satu pelaku pencurian sepeda motor bernama Erlan Danaputra di lantai UG Blok M Square,” ujar Kapolsek Mampang Kompol David Yunior Kanitero, Jumat (1/11/2023).
Penangkapan Erlan bermula dari adanya laporan percobaan pencurian pada 31 Oktober 2023.
David kemudian menugaskan Unit Reserse Kriminal (Reskrim) Polsek Mampang untuk mendatangi tempat kejadian perkara (TKP) di Jalan Tegal Parang Selatan.
Sesampainya di lokasi, penyidik langsung meminta keterangan korban yang bernama Budi Aswin.
Saat itu, Budi menyebut pelaku gagal menggondol motor Honda Scoopy miliknya karena dikunci ganda.
“Motor gagal dicuri karena korban menggunakan kunci rahasia, sehingga alarm berbunyi,” tutur David.
Ketika berbincang dengan Budi, penyidik mendapatkan laporan bahwa ada kejadian serupa yang lokasinya tak jauh dari rumah Budi.
Korban bernama Kamaludin disebut kehilangan motor Honda Beat yang diparkir di sebuah rumah kos Jalan Mampang Prapatan V pada hari yang sama.
“Karena lokasi kejadian tak jauh, kami coba cek rekaman CCTV di masing-masing lokasi. Ternyata pelaku di dua lokasi itu ciri-cirinya mirip. Mereka berboncengan juga saat melancarkan aksinya,” tutur David.
Berbekal informasi itu, Unit Reskrim Polsek Mampang kemudian melakukan pendalaman untuk mengungkap sosok pelaku.
Tak lama setelah itu, penyidik berhasil mengidentifikasi bahwa pelaku bernama Erlan Danaputra dan Erwan.
Polisi lalu menciduk Erlan saat bekerja sebagai satpam di Blok M Square. Erlan tak melawan dan langsung digelandang ke Mapolsek Mampang.
“Setelah kami interogasi, mereka ternyata mencuri dua motor sekaligus di hari yang sama. Selain mencuri motor Beat di wilayah Mampang, pelaku juga melakukan hal serupa di Setiabudi,” tutur David.
Kini, Erlan sudah ditetapkan sebagai tersangka pencurian sepeda motor dan dijerat Pasal 363 KUHP. Ia terancam hukuman penjara maksimal tujuh tahun penjara.














",NEWS
